Entries|Source
['COLLABOT', 'MUCOI', 'LUGA', 'MAQI', 'LOBACCONA']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Dromore&stone=266._Dromore_I
['MEDUSI', 'MACI', 'LU', 'MUCOI', 'LUGA']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Dromore&stone=267._Dromore_II
['CATTUVIR']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Dromore&stone=268._Dromore_III
['MANU', 'MAGUNO', 'GATI', 'MOCOI', 'MACORBO']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Drumlohan&stone=272._Drumlohan_I
['CALUNOVICA', 'MAQI', 'MUCOI', 'LITENI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Drumlohan&stone=273._Drumlohan_II
['MAQI', 'INI', 'MAQI', 'QE', 'TTEAS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Drumlohan&stone=274._Drumlohan_III
['CUNALEGEA', 'MAQI', 'CSALAR', 'CELI', 'AVI', 'QVECI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Drumlohan&stone=275._Drumlohan_IV
['BIGU', 'MAQI', 'LAG']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Drumlohan&stone=276._Drumlohan_V
['BIR', 'MAQI', 'MUCOI', 'ROTTAIS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Drumlohan&stone=277._Drumlohan_VI
['MAQI', 'NET', 'AS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Drumlohan&stone=278._Drumlohan_VII
['DENAVECA', 'MUCOI', 'MEDALO']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Drumlohan&stone=279._Drumlohan_VIII
['BROINIONAS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Drumlohan&stone=280._Drumlohan_IX
['DEAGOS', 'MAQI', 'MUCOI', 'NAI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Drumlohan&stone=281._Drumlohan_X
['RAVASA', 'KOI', 'MAQQI', 'DT', 'SENN']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Drummin&stone=Drummin_II
['CUNOVATO']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Drummin&stone=11._Drummin_I
['BRUSCCOS', 'MAQQI', 'CALIACI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Emlagh_East&stone=180._Emlagh_East
['MAQI', 'DECCEDDAS', 'AVI', 'TURANIAS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Faunkill_and_the_Woods&stone=66._Faunkill_and_the_Woods
['MAQI', 'ERACIAS', 'MAQI', 'DIMAQA', 'MUCOI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Gowran&stone=32._Gowran
['TRENU', 'MAQI', 'MUCOI', 'QRITTI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Greenhill&stone=57._Greenhill_I
['CATTUBUTTAS', 'MAQI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Greenhill&stone=58._Greenhill_II
['CUNANETAS', 'MAQI', 'MMUCOI', 'NETA', 'SEGAMONAS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Island&stone=300._Island
['ALATTO', 'CELI', 'BATTIGNI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Kerry_County_Museum&stone=215._Whitefield_I
['ANM', 'VIRRACC', 'ANNI', 'TIGIRN', 'CTEDATTOQA', 'MAQI', 'VEDELMETTO']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Kilcoolaght_East&stone=206._Kilcoolaght_East_I
['ECC', 'MAQI', 'LUGUQRRIT']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Kilcoolaght_East&stone=207._Kilcoolaght_East_II
['UMALL']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Kilcoolaght_East&stone=208._Kilcoolaght_East_III
['AGGO', 'MAQI', 'AGILL']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Kilcoolaght_East&stone=209._Kilcoolaght_East_IV
['DUBEB', 'QN']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Kilcoolaght_East&stone=210._Kilcoolaght_East_V
['RITTAVVECC', 'MAQI', 'VEDDONOS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Kilcoolaght_East&stone=211._Kilcoolaght_East_VI
['URG']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Kilcoolaght_East&stone=213._Kilcoolaght_East_VIII
['EQODDI', 'SCI', 'FINTEN']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Kilfountain&stone=186._Kilfountain
['ANM', 'ANM', 'MAILE', 'INBIR', 'MACI', 'BROCANN']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Kilmalkedar&stone=187._Kilmalkedar
['MA', 'RIANI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Kinard_East&stone=188._Kinard_East_I
['MAC', 'SANGTI', 'LLOTETI', 'AVI', 'SRUSA', 'MCM', 'CURCITI', 'VEVODDIUGWAC']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Kinard_East&stone=189._Kinard_East_II
['MAQI', 'NILI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Knickeen&stone=51._Knickeen
['ERATI', 'MUCOI', 'NETA', 'SEGAMONAS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Knockboy&stone=292._Knockboy_I
['RG', 'BCARCEN']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Knockboy&stone=293._Knockboy_II
['CORB']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Knockboy&stone=294._Knockboy_III
['QECCIAS', 'MUCOI', 'BROENIONAS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Knockboy&stone=295._Knockboy_IV
['CIR', 'MAQI', 'MUC']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Knockboy&stone=296._Knockboy_V
['VORTIGURN']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Knockboy&stone=297._Knockboy_VI
['VEDABAR', 'MAQI', 'LSM', 'MOCOI', 'ODR', 'REA']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Knockboy&stone=298._Knockboy_VII
['MAQI', 'MONGEDIAS', 'MAQI', 'MUIBITI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Knockboy&stone=299._Knockboy_VIII
['MAQI', 'CORABIR', 'MAQI', 'TAN', 'NETA', 'SALAGIA', 'MAQI', 'MUCOI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Louth_County_Museum&stone=Ballybarrack
['GOSSUCTTIAS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Lugnagappul&stone=190._Lugnagappul_I
['GAMICUNAS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Lugnagappul&stone=191._Lugnagappul_II
['ANM', 'COL', 'OLTH', 'MAN', 'ALITHIR']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Maumanorig&stone=193._Maumanorig
['RETAGIN', 'MAQI', 'DOVU']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Musaem_Chorca_Dhuibhne&stone=Coumlanders
['CORBAGNI', 'KOI', 'MAQI', 'MOCCOI', 'COROTANI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Musaem_Chorca_Dhuibhne&stone=98._Ballyhank_II
['MAQI', 'MUCCOI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Musaem_Chorca_Dhuibhne&stone=173._Brackloon
['TALAGNI', 'MAQI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Musaem_Chorca_Dhuibhne&stone=181._Emlagh_West
['CURCI', 'MAQI', 'MU', 'COI', 'VO']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Musaem_Chorca_Dhuibhne&stone=195._Rathmalode_I
['ERCAVICCAS', 'MAQI', 'CO']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Musaem_Chorca_Dhuibhne&stone=196._Rathmalode_II
['ANM', 'MAQQI', 'LASIRE', 'MAQQI', 'BIRRAC']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=Bunkilla
['UMU']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=Kilgrovan_VII
['MAQI', 'CUMUGODUU', 'MUCO']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=Kilgrovan_VI
['LUGADDON', 'MAQI', 'LUGUDEC', 'DDISI', 'MO']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=4._Kilmannin
['MUCOI', 'MUCCI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=17._Tuckamine
['OVANOS', 'AVI', 'IVACATTOS', 'IVVE', 'DRVVIDES']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=19._Colbinstown_I
['MAQI', 'DDECCEDA', 'MAQI', 'MARIN']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=20._Colbinstown_II
